18
1
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 13 14
7 12 15
8 11 16
9 10 17
10 18 19
11 18 20
12 19 21
13 20 21
14 15 21
14 16 20
15 17 19
16 17 18
2
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 13 14
7 12 15
8 11 16
9 10 17
10 18 19
11 18 20
12 19 21
13 20 21
14 15 21
14 16 20
15 17 19
16 17 18
3
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 13 16
8 12 17
10 18 19
11 20 21
12 18 20
13 19 21
14 16 21
14 17 20
15 16 19
15 17 18
4
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 16 17
8 18 19
10 15 20
11 14 21
12 18 20
12 19 21
13 16 21
13 17 20
14 16 19
15 17 18
5
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 15
7 16 17
8 18 19
9 11 20
10 11 21
12 18 20
12 19 21
13 16 21
13 17 20
14 16 19
15 17 18
6
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 11 15
6 9 10
7 13 16
8 12 17
9 18 19
10 20 21
12 18 20
13 19 21
14 16 21
14 17 20
15 16 19
15 17 18
7
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 11 15
6 9 10
7 16 17
8 18 19
9 15 20
10 14 21
12 18 20
12 19 21
13 16 21
13 17 20
14 16 19
15 17 18
8
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 15
7 16 17
8 18 19
9 10 20
10 11 21
12 18 20
12 19 21
13 16 21
13 17 20
14 16 19
15 17 18
9
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 12
3 6 13
5 7 14
5 13 15
7 8 16
9 11 17
10 18 19
11 18 20
12 20 21
13 19 21
14 15 21
14 17 20
15 16 19
16 17 18
10
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 12
3 6 13
5 7 14
5 15 16
7 8 17
9 18 19
10 17 20
11 18 20
11 19 21
12 14 21
13 15 21
13 16 20
14 15 19
16 17 18
11
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 13
5 14 15
7 16 17
8 10 18
9 11 19
11 16 20
12 15 21
12 19 20
13 20 21
14 17 21
15 17 18
16 18 19
12
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 13
5 15 16
7 17 18
8 10 17
9 19 20
11 18 19
11 20 21
12 13 21
12 15 20
14 15 21
14 16 18
16 17 19
13
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 15
5 14 16
7 13 17
8 12 18
9 11 19
10 20 21
11 17 20
12 16 21
13 19 20
14 18 21
15 16 18
15 17 19
14
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 15
5 14 16
7 13 17
8 12 18
9 11 19
10 20 21
11 18 20
12 19 20
13 16 21
14 17 21
15 16 17
15 18 19
15
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 15
5 14 16
7 17 18
8 19 20
9 11 15
10 14 21
11 17 19
12 16 20
12 19 21
13 16 18
13 17 21
15 18 20
16
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 12 13
3 4 14
3 6 15
5 12 15
5 16 17
7 10 14
7 16 18
8 12 19
9 10 20
11 13 21
11 18 19
13 17 20
14 17 21
15 18 21
16 19 20
17
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 12 13
3 4 14
3 6 15
5 12 15
5 16 17
7 10 18
7 14 16
8 13 19
9 10 20
11 13 21
11 18 19
12 17 21
14 17 20
15 19 21
16 18 20
18
22
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 12 13
3 4 14
3 6 15
5 12 16
5 15 17
7 10 18
7 14 17
8 13 19
9 11 20
10 19 21
11 13 21
12 20 21
14 16 20
15 18 19
16 17 18
