5
1
20
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 13 14
7 15 16
8 17 18
9 10 19
10 15 17
11 14 18
11 17 19
12 14 16
12 15 19
13 16 18
2
20
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 13 14
7 15 16
8 17 18
9 10 19
10 15 17
11 14 18
11 17 19
12 14 16
12 15 19
13 16 18
3
20
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 16 17
8 18 19
10 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16
4
20
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 11 15
6 9 10
7 16 17
8 18 19
9 16 18
10 17 19
12 14 19
12 15 18
13 14 17
13 15 16
5
20
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 13
5 15 16
7 15 17
8 10 18
9 17 19
11 12 19
11 17 18
12 14 16
13 16 19
14 15 18
