270
1
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 16 17
10 11 18
10 12 19
11 13 20
12 13 21
14 22 23
15 22 24
16 23 25
17 24 25
18 19 25
18 20 24
19 21 23
20 21 22
2
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 16 18
10 11 17
10 12 19
11 13 20
12 14 21
13 22 23
15 22 24
16 23 25
17 24 25
18 19 25
18 20 24
19 21 23
20 21 22
3
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 17
10 12 18
11 20 21
12 14 22
13 15 23
13 20 24
16 19 25
16 22 24
17 21 25
18 24 25
19 21 23
20 22 23
4
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 17
10 12 20
11 18 21
12 14 22
13 16 23
13 20 24
15 19 25
16 22 24
17 21 25
18 24 25
19 21 23
20 22 23
5
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 17
10 12 20
11 18 21
12 14 22
13 16 23
13 21 24
15 22 24
16 19 25
17 20 25
18 24 25
19 20 23
21 22 23
6
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 17
10 12 20
11 21 22
12 14 21
13 20 23
13 22 24
15 18 24
16 17 25
16 19 23
18 22 25
19 20 25
21 23 24
7
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 18
10 12 19
11 20 21
12 20 22
13 14 23
13 15 24
16 17 25
16 22 23
17 21 24
18 21 25
19 22 25
20 23 24
8
26
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 17 18
9 17 19
10 11 17
10 16 20
11 15 21
12 13 14
12 22 23
13 22 24
15 24 25
16 23 25
18 19 25
18 21 24
19 20 23
20 21 22
9
26
1 2 3
0 4 5
0 6 7
0 8 9
